Day relative to ovulation	n	Intact LH, mIU/mL	Total LH, mIU/mL	E3G, ng/mL	FSH, mIU//mL	P3G, ug/mL
-16	13	6.3 (2.8 -11.4)	5.1 (2.9-11.3)	7.5 (4.9 -2.5)	5.4 (2.0-9.6)	3.4 (1.0-5.6)
-15	16	4.3 (2.1-12.0)	6.2 (2.3-15.8)	8.4 (4.0 -29.1)	4.6 (2.6 -15.5)	3.4 (0.8-10.4)
-14	23	6.8 (1.2 -11.0)	6.9 (1.7-15.0)	7.7 (4.0-21.2)	6.0 (5.6 -14.1)	2.9 (0.8-5.5)
-13	28	8.7 (1.8-18.1)	8.3 (1.9 -21.1)	8.7 (5.3 -18.9)	7.4 (2.2 -16.3)	2.8 (0.9-5.4)
-12	34	5.5 (2.5 -14.5)	5.9 (2.4-16.0)	8.8 (4.0-17.5)	7.1 (2.9 -20.1)	2.1 (0.8-6.1)
-11	38	8.2 (2.2 -12.6)	8.1 (2.5-14.9)	9.1 (4.7-18.9)	7.7 (2.5 -16.1)	2.2 (1.0-4.9)
-10	38	6.9 (2.8-11.9)	7.7 (3.1 -14.7)	8.9 (4.5 -18.3)	7.0 (3.6-11.5)	2.1 (1.0 -4.4)
-9	39	6.6 (3.4 -12.0)	7.7 (2.4 -19.1)	11.6 (4.4-19.2)	6.5 (3.2 -12.8)	2.1 (0.9-4.2)
-8	40	6.5 (2.9-11.9)	7.3 (3.4-16.6)	11.6 (5.7-23.1)	5.8 (2.9 -14.5)	2.2 (0.9 -4.5)
-7	41	5.6 (2.3-9.7)	6.7 (2.7 -19.5)	11.2 (4.2-19.8)	4.8 (2.4-11.7)	1.8 (0.7-3.8)
-6	40	6.2 (1.9-10.0)	7.9 (2.9-21.7)	12.0 (6.1-27.1)	5.1 (1.9 -13.7)	1.8 (0.8 -4.3)
-5	40	6.0 (2.9-11.5)	8.5 (3.4 -17.8)	16.4 (7.7 -35.2)	5.5 (2.3 -9.7)	1.9 (0.9 -3.9)
-4	41	5.3 (2.2 -10.7)	7.5 (2.5 -17.1)	22.0 (11.4-33.0)	3.78 (1.6-7.7)	1.9 (0.9 -3.1)
-3	40	5.9 (2.8-15.6)	9.4 (3.2-22.6)	26.4 (14.0 -53.6)	4.7 (1.8-9.3)	2.0 (1.0-4.1)
-2	40	8.5 (4.0-46.6)	13.5 (3.9-47.5)	37.3 (16.3 -92.8)	5.3 (2.2-18.9)	2.6 (1.0 -4.5)
-1	40	44.6 (6.5 -101.0)	37.5 (7.7 -90.8)	46.2 (17.1 -85.6)	15.0 (3.9 -35.9)	2.3 (1.1 -5.5)
0	37	27.1 (9.9 -67.9)	57.9 (23.5 -110.0)	36.9 (14.9 -84.9)	14.1 (4.9-37.4)	3.4 (1.6-7.7)
1	37	10.1 (4.1-23.5)	41.6 (11.4-97.9)	19.6 (6.1-53.1)	6.1 (1.6-19.6)	4.3 (1.7 -8.5)
2	37	7.5 (1.9 -18.2)	32.6 (8.5-88.9)	18.7 (7.5 -38.6)	4.7 (1.3 -12.0)	6.5 (2.7 -14.7)
3	36	6.4 (1.8 -17.2)	23.7 (6.5 -49.4)	16.9 (6.5 -42.3)	3.8 (1.0-13.1)	9.0 (4.0 -25.8)
4	36	5.0 (2.1 -12.8)	13.6 (3.1-48.1)	18.0 (6.6-61.6)	3.5 (0.7-9.1)	13.5 (4.6 -32.1)
5	36	3.9 (1.3-9.1)	10.9 (3.6 -23.8)	20.1 (7.3-48.2)	2.3 (0.8-6.5)	17.1 (5.3 -53.6)
6	35	3.0 (0.9-7.1)	7.3 (2.1 -20.5)	19.2 (10.2-49.1)	2.5 (0.4-6.4)	18.1 (5.7 -59.0)
7	35	3.0 (1.0-8.20)	6.6 (1.8-17.9)	20.8 (10.3 -48.2)	2.2 (0.6 -5.3)	18.7 (8.2-41.0)
8	35	2.8 (0.9 -6.1)	5.2 (1.4 -16.6)	22.8 (6.3 -45.04)	1.7 (0.5-6.0)	18.6 (9.7 -35.9)
9	34	3.5 (1.6 -6.2)	3.7 (2.3 -13.0)	17.7 (10.0-52.3)	2.1 (0.7 -6.1)	19.9 (6.2-47.3)
10	34	2.6 (1.2-7.2)	4.4 (1.4 -13.3)	19.8 (6.7-51.7)	1.7 (0.7 -5.7)	13.1 (6.5 -36.3)
11	30	3.1 (1.0-13.8)	3.2 (1.3 -14.6)	15.3 (7.5-37.8)	2.3 (0.5 -8.7)	11.0 (4.4 -29.9)
12	23	3.9 (1.5 -7.2)	4.0 (1.7-7.0)	11.8 (3.2 -23.2)	3.6 (0.7 -5.0)	9.6 (4.5-19.9)
13	21	4.5 (2.5 -10.1)	5.7 (2.3 -10.9)	7.5 (4.9 -21.5)	4.6 (2.0-9.1)	8.8 (3.8-18.6)
