bc_day	prc_stirn_bc	prc_wcx_bc	est_estradiol_bc	est_estradiol_bc_se	est_estradiol_bc_low	est_estradiol_bc_high	est_free_estradiol_bc	est_free_estradiol_bc_se	est_free_estradiol_bc_low	est_free_estradiol_bc_high	est_progesterone_bc	est_progesterone_bc_se	est_progesterone_bc_low	est_progesterone_bc_high	est_pbfw_bc	est_pbfw_bc_se	est_pbfw_bc_low	est_pbfw_bc_high	est_testosterone_bc	est_testosterone_bc_se	est_testosterone_bc_low	est_testosterone_bc_high	est_free_testosterone_bc	est_free_testosterone_bc_se	est_free_testosterone_bc_low	est_free_testosterone_bc_high
-40	0.01	0.005	4.71	0.7	3.33	6.05	0.7	0.79	-0.79	2.22	7.3	0.89	5.51	9.01	0.05	0.39	-0.71	0.81	2.85	0.24	2.37	3.31	-1.39	0.26	-1.92	-0.88
-39	0.01	0.005	4.54	0.66	3.27	5.86	0.53	0.73	-0.92	1.98	7.18	0.84	5.54	8.84	0.03	0.36	-0.66	0.75	2.87	0.22	2.44	3.3	-1.37	0.25	-1.85	-0.89
-38	0.01	0.005	4.37	0.61	3.18	5.56	0.36	0.68	-0.95	1.72	7.04	0.77	5.56	8.52	0.03	0.33	-0.61	0.68	2.89	0.21	2.48	3.31	-1.35	0.24	-1.83	-0.89
-37	0.01	0.005	4.21	0.58	3.07	5.31	0.17	0.66	-1.1	1.49	6.91	0.75	5.46	8.38	0.03	0.3	-0.56	0.61	2.9	0.21	2.5	3.31	-1.34	0.23	-1.78	-0.88
-36	0.01	0.005	4.04	0.56	2.98	5.13	-0.02	0.62	-1.22	1.15	6.77	0.69	5.41	8.08	0.03	0.28	-0.55	0.58	2.93	0.2	2.53	3.31	-1.31	0.22	-1.73	-0.88
-35	0.01	0.005	3.89	0.53	2.86	4.93	-0.21	0.59	-1.36	0.95	6.63	0.66	5.33	7.96	0.02	0.27	-0.5	0.53	2.94	0.19	2.56	3.32	-1.29	0.21	-1.7	-0.86
-34	0.01	0.005	3.7	0.51	2.72	4.69	-0.4	0.57	-1.52	0.7	6.51	0.65	5.22	7.78	0.02	0.24	-0.45	0.48	2.97	0.18	2.62	3.33	-1.28	0.2	-1.66	-0.89
-33	0.01	0.005	3.54	0.49	2.56	4.47	-0.57	0.56	-1.69	0.53	6.38	0.64	5.12	7.62	0.02	0.24	-0.45	0.49	2.98	0.18	2.63	3.32	-1.25	0.2	-1.64	-0.87
-32	0.01	0.005	3.4	0.51	2.4	4.36	-0.73	0.55	-1.83	0.35	6.27	0.64	5.03	7.53	0.01	0.23	-0.44	0.45	3	0.17	2.67	3.34	-1.23	0.19	-1.62	-0.84
-31	0.01	0.005	3.33	0.49	2.35	4.27	-0.83	0.56	-1.94	0.27	6.24	0.64	4.99	7.47	0	0.22	-0.44	0.43	3.02	0.17	2.67	3.36	-1.22	0.2	-1.6	-0.82
-30	0.01	0.005	3.31	0.49	2.31	4.27	-0.82	0.55	-1.91	0.24	6.22	0.63	5.01	7.49	-0.01	0.22	-0.43	0.42	3.03	0.18	2.69	3.38	-1.2	0.2	-1.57	-0.82
-29	0.01	0.005	3.36	0.49	2.41	4.31	-0.76	0.55	-1.83	0.35	6.26	0.63	5.04	7.48	-0.01	0.22	-0.43	0.43	3.05	0.18	2.7	3.39	-1.18	0.19	-1.56	-0.8
-28	0.01	0	3.43	0.49	2.47	4.39	-0.67	0.56	-1.81	0.42	6.3	0.63	5.09	7.55	0	0.22	-0.42	0.43	3.07	0.17	2.73	3.41	-1.14	0.2	-1.54	-0.77
-27	0.01	0	3.53	0.5	2.59	4.53	-0.6	0.56	-1.67	0.53	6.3	0.64	5.04	7.53	0	0.22	-0.43	0.43	3.1	0.18	2.76	3.45	-1.1	0.19	-1.47	-0.72
-26	0.02	0.001	3.57	0.49	2.59	4.54	-0.53	0.55	-1.61	0.55	6.27	0.64	5.05	7.54	0.01	0.21	-0.4	0.42	3.13	0.18	2.78	3.48	-1.07	0.19	-1.43	-0.7
-25	0.03	0.002	3.59	0.49	2.63	4.56	-0.51	0.57	-1.62	0.6	6.21	0.62	5	7.43	0.02	0.22	-0.4	0.45	3.16	0.17	2.81	3.5	-1.02	0.19	-1.41	-0.65
-24	0.05	0.004	3.61	0.5	2.62	4.6	-0.49	0.56	-1.57	0.65	6.15	0.63	4.91	7.41	0.04	0.21	-0.38	0.46	3.19	0.18	2.84	3.53	-0.99	0.19	-1.36	-0.6
-23	0.09	0.009	3.64	0.49	2.68	4.6	-0.44	0.55	-1.5	0.62	6.1	0.63	4.85	7.33	0.03	0.22	-0.39	0.46	3.21	0.18	2.87	3.56	-0.95	0.2	-1.34	-0.57
-22	0.16	0.018	3.73	0.5	2.75	4.69	-0.33	0.56	-1.42	0.76	6.06	0.63	4.86	7.29	0.04	0.21	-0.38	0.45	3.23	0.18	2.89	3.57	-0.92	0.2	-1.3	-0.55
-21	0.27	0.032	3.91	0.49	2.94	4.88	-0.12	0.56	-1.23	0.95	6.08	0.63	4.81	7.32	0.07	0.22	-0.37	0.5	3.25	0.18	2.91	3.6	-0.9	0.19	-1.28	-0.52
-20	0.38	0.05	4.18	0.49	3.22	5.12	0.15	0.55	-0.9	1.23	6.06	0.64	4.79	7.29	0.13	0.21	-0.29	0.54	3.27	0.18	2.93	3.61	-0.87	0.19	-1.26	-0.5
-19	0.48	0.069	4.46	0.5	3.49	5.44	0.48	0.55	-0.59	1.55	6.07	0.62	4.86	7.3	0.22	0.22	-0.2	0.64	3.31	0.18	2.96	3.66	-0.84	0.19	-1.21	-0.47
-18	0.56	0.085	4.73	0.51	3.73	5.72	0.75	0.56	-0.33	1.85	6.1	0.63	4.87	7.3	0.33	0.22	-0.09	0.76	3.35	0.18	3.01	3.71	-0.8	0.2	-1.18	-0.41
-17	0.58	0.094	4.92	0.5	3.96	5.91	0.97	0.55	-0.14	2.06	6.2	0.62	4.97	7.41	0.45	0.21	0.03	0.87	3.4	0.18	3.07	3.75	-0.75	0.19	-1.13	-0.37
-16	0.55	0.093	5	0.49	4.05	5.97	1.05	0.56	-0.03	2.15	6.4	0.63	5.16	7.61	0.53	0.22	0.1	0.95	3.46	0.17	3.11	3.8	-0.7	0.2	-1.09	-0.31
-15	0.48	0.085	4.98	0.49	3.99	5.94	1.02	0.55	-0.04	2.11	6.71	0.62	5.5	7.94	0.55	0.21	0.13	0.96	3.5	0.17	3.15	3.84	-0.66	0.2	-1.04	-0.28
