fc_day	prc_stirn_fc	prc_wcx_fc	est_estradiol_fc	est_estradiol_fc_se	est_estradiol_fc_low	est_estradiol_fc_high	est_free_estradiol_fc	est_free_estradiol_fc_se	est_free_estradiol_fc_low	est_free_estradiol_fc_high	est_progesterone_fc	est_progesterone_fc_se	est_progesterone_fc_low	est_progesterone_fc_high	est_pbfw_fc	est_pbfw_fc_se	est_pbfw_fc_low	est_pbfw_fc_high	est_testosterone_fc	est_testosterone_fc_se	est_testosterone_fc_low	est_testosterone_fc_high	est_free_testosterone_fc	est_free_testosterone_fc_se	est_free_testosterone_fc_low	est_free_testosterone_fc_high
0	0.01	0	3.49	0.58	2.36	4.63	-0.64	0.64	-1.93	0.58	6.34	0.8	4.72	7.9	-0.01	0.24	-0.47	0.46	3.06	0.18	2.71	3.42	-1.15	0.2	-1.54	-0.77
1	0.01	0	3.56	0.57	2.44	4.67	-0.57	0.64	-1.84	0.67	6.18	0.79	4.62	7.73	0	0.24	-0.46	0.48	3.11	0.18	2.76	3.46	-1.09	0.2	-1.49	-0.7
2	0.02	0.001	3.63	0.58	2.49	4.76	-0.47	0.64	-1.7	0.79	6.08	0.8	4.47	7.65	0	0.24	-0.47	0.47	3.14	0.18	2.79	3.5	-1.04	0.2	-1.43	-0.65
3	0.03	0.002	3.71	0.57	2.56	4.8	-0.38	0.65	-1.64	0.88	6	0.81	4.46	7.59	0.01	0.24	-0.46	0.49	3.18	0.18	2.83	3.53	-0.99	0.2	-1.39	-0.6
4	0.05	0.004	3.78	0.57	2.66	4.92	-0.3	0.64	-1.6	0.94	5.98	0.8	4.44	7.6	0.01	0.24	-0.45	0.48	3.21	0.18	2.86	3.56	-0.96	0.2	-1.36	-0.56
5	0.09	0.009	3.91	0.56	2.81	5.01	-0.19	0.64	-1.45	1.1	5.97	0.79	4.45	7.56	0.05	0.24	-0.42	0.52	3.24	0.18	2.87	3.6	-0.93	0.2	-1.32	-0.54
6	0.16	0.018	4.05	0.57	2.92	5.17	0	0.64	-1.26	1.24	6	0.8	4.45	7.53	0.11	0.23	-0.35	0.58	3.27	0.18	2.91	3.62	-0.89	0.2	-1.28	-0.5
7	0.27	0.032	4.21	0.57	3.1	5.33	0.22	0.64	-1.03	1.49	6.06	0.82	4.47	7.65	0.2	0.23	-0.25	0.66	3.31	0.18	2.95	3.66	-0.85	0.2	-1.25	-0.46
8	0.38	0.05	4.41	0.58	3.27	5.54	0.4	0.64	-0.82	1.65	6.13	0.8	4.56	7.7	0.3	0.24	-0.16	0.77	3.35	0.19	2.99	3.71	-0.81	0.2	-1.21	-0.41
9	0.48	0.069	4.57	0.58	3.43	5.7	0.57	0.64	-0.65	1.81	6.26	0.81	4.73	7.83	0.39	0.24	-0.08	0.84	3.4	0.18	3.04	3.75	-0.77	0.2	-1.15	-0.38
10	0.56	0.085	4.71	0.56	3.61	5.81	0.73	0.65	-0.53	2.03	6.45	0.8	4.89	8	0.44	0.23	-0.01	0.9	3.44	0.18	3.09	3.79	-0.72	0.2	-1.11	-0.33
11	0.58	0.094	4.79	0.57	3.72	5.88	0.82	0.64	-0.41	2.08	6.65	0.8	5.09	8.25	0.47	0.24	0	0.93	3.46	0.18	3.11	3.82	-0.7	0.2	-1.08	-0.31
12	0.55	0.093	4.81	0.55	3.71	5.9	0.83	0.64	-0.42	2.11	6.89	0.81	5.39	8.5	0.47	0.23	0.01	0.92	3.48	0.18	3.11	3.82	-0.68	0.2	-1.06	-0.3
13	0.48	0.085	4.8	0.57	3.67	5.92	0.82	0.64	-0.45	2.05	7.17	0.8	5.62	8.75	0.43	0.23	-0.04	0.88	3.48	0.18	3.12	3.83	-0.69	0.2	-1.08	-0.3
14	0.38	0.073	4.77	0.57	3.64	5.9	0.82	0.64	-0.44	2.06	7.42	0.81	5.81	9.03	0.38	0.24	-0.07	0.85	3.47	0.18	3.11	3.84	-0.7	0.2	-1.09	-0.31
15	0.28	0.059	4.76	0.56	3.67	5.86	0.76	0.64	-0.51	1.99	7.7	0.81	6.13	9.31	0.34	0.23	-0.12	0.79	3.45	0.18	3.1	3.8	-0.73	0.2	-1.12	-0.34
16	0.2	0.047	4.76	0.57	3.64	5.85	0.78	0.64	-0.48	2.04	7.98	0.79	6.42	9.53	0.28	0.24	-0.19	0.75	3.43	0.18	3.07	3.79	-0.77	0.2	-1.16	-0.36
