conception_risk_lh	lh_day	fertile_lh	est_estradiol_lh	est_estradiol_lh_se	est_estradiol_lh_low	est_estradiol_lh_high	est_free_estradiol_lh	est_free_estradiol_lh_se	est_free_estradiol_lh_low	est_free_estradiol_lh_high	est_progesterone_lh	est_progesterone_lh_se	est_progesterone_lh_low	est_progesterone_lh_high	est_testosterone_lh	est_testosterone_lh_se	est_testosterone_lh_low	est_testosterone_lh_high	est_free_testosterone_lh	est_free_testosterone_lh_se	est_free_testosterone_lh_low	est_free_testosterone_lh_high
0	-15	0	3.4	0.46	2.51	4.29	-0.72	0.53	-1.76	0.29	6.44	0.58	5.32	7.59	3.05	0.17	2.71	3.39	-1.19	0.19	-1.56	-0.8
0	-14	0	3.41	0.46	2.51	4.32	-0.75	0.52	-1.74	0.28	6.39	0.57	5.3	7.49	3.04	0.17	2.7	3.38	-1.19	0.19	-1.57	-0.8
0	-13	0	3.45	0.46	2.57	4.35	-0.7	0.52	-1.72	0.31	6.31	0.57	5.2	7.42	3.05	0.18	2.71	3.4	-1.16	0.19	-1.53	-0.79
0	-12	0	3.51	0.46	2.61	4.4	-0.6	0.52	-1.6	0.45	6.21	0.56	5.08	7.28	3.08	0.17	2.75	3.42	-1.12	0.19	-1.49	-0.76
0	-11	0	3.61	0.46	2.71	4.49	-0.49	0.53	-1.54	0.55	6.14	0.57	5.01	7.21	3.13	0.17	2.79	3.46	-1.08	0.19	-1.46	-0.71
0	-10	0	3.65	0.46	2.77	4.53	-0.45	0.52	-1.48	0.57	6.08	0.56	4.99	7.2	3.17	0.17	2.83	3.51	-1.03	0.19	-1.41	-0.65
0	-9	0	3.7	0.47	2.79	4.64	-0.4	0.52	-1.43	0.58	6.07	0.57	4.95	7.18	3.2	0.17	2.86	3.54	-0.98	0.19	-1.37	-0.62
0	-8	0	3.72	0.46	2.84	4.6	-0.38	0.51	-1.41	0.63	6.07	0.57	4.98	7.16	3.22	0.17	2.88	3.56	-0.96	0.19	-1.34	-0.58
0	-7	0	3.81	0.46	2.92	4.74	-0.28	0.52	-1.29	0.74	6.05	0.56	4.95	7.12	3.22	0.18	2.87	3.56	-0.95	0.19	-1.32	-0.57
0.01	-6	0.032258064516129	3.98	0.46	3.05	4.89	-0.07	0.52	-1.09	0.95	6.03	0.56	4.93	7.14	3.23	0.17	2.89	3.57	-0.94	0.19	-1.31	-0.55
0.02	-5	0.0645161290322581	4.33	0.46	3.43	5.23	0.29	0.52	-0.73	1.36	6.01	0.56	4.93	7.15	3.25	0.17	2.91	3.59	-0.91	0.19	-1.28	-0.54
0.06	-4	0.193548387096774	4.7	0.46	3.81	5.59	0.72	0.52	-0.3	1.73	5.98	0.57	4.85	7.1	3.29	0.17	2.96	3.62	-0.86	0.19	-1.25	-0.49
0.16	-3	0.516129032258065	5.05	0.46	4.13	5.97	1.09	0.51	0.09	2.08	6	0.57	4.89	7.11	3.36	0.17	3.02	3.7	-0.8	0.19	-1.17	-0.42
0.2	-2	0.645161290322581	5.22	0.45	4.36	6.1	1.32	0.51	0.32	2.34	6.18	0.55	5.07	7.25	3.43	0.17	3.1	3.76	-0.74	0.19	-1.11	-0.37
0.25	-1	0.806451612903226	5.22	0.46	4.32	6.12	1.31	0.51	0.3	2.28	6.51	0.57	5.43	7.63	3.48	0.17	3.14	3.82	-0.69	0.19	-1.06	-0.31
0.24	0	0.774193548387097	5.01	0.47	4.08	5.95	1.05	0.52	0.05	2.08	6.94	0.56	5.84	8.03	3.52	0.18	3.18	3.86	-0.67	0.19	-1.06	-0.29
0.1	1	0.32258064516129	4.7	0.46	3.81	5.65	0.7	0.51	-0.29	1.71	7.45	0.57	6.33	8.56	3.5	0.17	3.15	3.84	-0.7	0.19	-1.08	-0.33
0.02	2	0.0645161290322581	4.42	0.46	3.53	5.3	0.37	0.52	-0.67	1.39	7.99	0.57	6.87	9.1	3.46	0.17	3.14	3.8	-0.76	0.19	-1.13	-0.38
0.02	3	0.0645161290322581	4.27	0.47	3.34	5.18	0.21	0.52	-0.83	1.25	8.45	0.57	7.31	9.58	3.4	0.17	3.06	3.74	-0.84	0.19	-1.22	-0.45
0	4	0	4.33	0.46	3.45	5.26	0.25	0.51	-0.74	1.22	8.8	0.56	7.67	9.88	3.33	0.17	2.99	3.67	-0.91	0.19	-1.27	-0.54
0	5	0	4.54	0.46	3.64	5.45	0.48	0.52	-0.54	1.48	8.98	0.56	7.85	10.08	3.28	0.17	2.94	3.62	-0.97	0.2	-1.36	-0.58
0	6	0	4.83	0.46	3.91	5.72	0.79	0.52	-0.24	1.82	9.13	0.56	8.03	10.2	3.23	0.17	2.89	3.58	-1.01	0.19	-1.39	-0.63
0	7	0	5.03	0.45	4.14	5.91	0.99	0.52	-0.04	2.06	9.16	0.57	8.04	10.29	3.22	0.17	2.89	3.56	-1.03	0.2	-1.41	-0.65
