bc_day	prc_stirn_bc	prc_wcx_bc	mv_est_estradiol_bc	mv_est_free_estradiol_bc	mv_est_progesterone_bc	mv_est_testosterone_bc	mv_est_free_testosterone_bc	mv_est_luteinising_bc
-40	0.01	0.005	4.4	0.37	7.42	2.88	-1.36	-0.28
-39	0.01	0.005	4.27	0.23	7.27	2.9	-1.34	-0.07
-38	0.01	0.005	4.16	0.1	7.12	2.92	-1.32	0.14
-37	0.01	0.005	4.03	-0.03	6.98	2.93	-1.31	0.33
-36	0.01	0.005	3.92	-0.16	6.82	2.95	-1.29	0.54
-35	0.01	0.005	3.8	-0.29	6.66	2.97	-1.27	0.75
-34	0.01	0.005	3.67	-0.43	6.53	2.99	-1.25	0.96
-33	0.01	0.005	3.55	-0.55	6.37	3	-1.24	1.14
-32	0.01	0.005	3.46	-0.66	6.25	3.02	-1.22	1.32
-31	0.01	0.005	3.42	-0.71	6.21	3.03	-1.2	1.37
-30	0.01	0.005	3.41	-0.72	6.2	3.04	-1.19	1.37
-29	0.01	0.005	3.44	-0.68	6.2	3.06	-1.17	1.33
-28	0.01	0	3.5	-0.62	6.24	3.08	-1.14	1.3
-27	0.01	0	3.56	-0.55	6.26	3.11	-1.1	1.33
-26	0.02	0.001	3.59	-0.52	6.21	3.13	-1.07	1.42
-25	0.03	0.002	3.61	-0.49	6.15	3.16	-1.03	1.55
-24	0.05	0.004	3.6	-0.49	6.04	3.19	-0.99	1.59
-23	0.09	0.009	3.66	-0.43	6.01	3.21	-0.96	1.61
-22	0.16	0.018	3.76	-0.32	5.95	3.23	-0.93	1.53
-21	0.27	0.032	3.94	-0.12	5.96	3.25	-0.9	1.47
-20	0.38	0.05	4.19	0.15	5.95	3.27	-0.88	1.49
-19	0.48	0.069	4.47	0.47	5.96	3.31	-0.84	1.63
-18	0.56	0.085	4.74	0.77	6.02	3.35	-0.79	1.9
-17	0.58	0.094	4.93	0.98	6.14	3.41	-0.74	2.23
-16	0.55	0.093	5.02	1.09	6.35	3.46	-0.7	2.53
-15	0.48	0.085	4.97	1.03	6.67	3.49	-0.67	2.68
-14	0.38	0.073	4.85	0.88	7.08	3.51	-0.66	2.68
-13	0.28	0.059	4.71	0.72	7.51	3.5	-0.69	2.49
-12	0.2	0.047	4.61	0.59	7.91	3.47	-0.73	2.25
-11	0.14	0.036	4.57	0.54	8.27	3.42	-0.79	1.99
-10	0.1	0.028	4.62	0.59	8.55	3.36	-0.85	1.77
-9	0.07	0.021	4.74	0.72	8.8	3.31	-0.91	1.64
-8	0.06	0.016	4.86	0.84	9.01	3.28	-0.96	1.55
-7	0.04	0.013	4.97	0.97	9.15	3.26	-0.98	1.51
-6	0.03	0.01	4.97	0.97	9.22	3.25	-0.99	1.47
-5	0.02	0.008	4.9	0.89	9.16	3.23	-1.01	1.41
-4	0.01	0.007	4.71	0.68	8.89	3.21	-1.03	1.34
-3	0.01	0.006	4.44	0.39	8.49	3.18	-1.06	1.25
-2	0.01	0.005	4.13	0.05	7.95	3.13	-1.1	1.19
-1	0.01	0.005	3.78	-0.33	7.3	3.09	-1.15	1.15
