fc_day	prc_stirn_fc	prc_wcx_fc	mv_est_estradiol_fc	mv_est_free_estradiol_fc	mv_est_progesterone_fc	mv_est_testosterone_fc	mv_est_free_testosterone_fc	mv_est_luteinising_fc
0	0.01	0	3.45	-0.67	6.47	3.02	-1.2	1.27
1	0.01	0	3.51	-0.61	6.33	3.05	-1.15	1.33
2	0.02	0.001	3.57	-0.54	6.15	3.1	-1.09	1.39
3	0.03	0.002	3.67	-0.43	6	3.14	-1.04	1.45
4	0.05	0.004	3.73	-0.36	5.91	3.18	-0.99	1.44
5	0.09	0.009	3.82	-0.25	5.88	3.21	-0.95	1.46
6	0.16	0.018	3.93	-0.13	5.88	3.24	-0.92	1.47
7	0.27	0.032	4.09	0.05	5.88	3.27	-0.88	1.58
8	0.38	0.05	4.25	0.23	5.97	3.32	-0.84	1.71
9	0.48	0.069	4.43	0.42	6.08	3.36	-0.8	1.9
10	0.56	0.085	4.56	0.56	6.19	3.39	-0.77	2.08
11	0.58	0.094	4.69	0.72	6.41	3.43	-0.73	2.27
12	0.55	0.093	4.77	0.8	6.61	3.46	-0.7	2.4
13	0.48	0.085	4.8	0.84	6.85	3.47	-0.69	2.47
14	0.38	0.073	4.81	0.84	7.11	3.47	-0.69	2.47
15	0.28	0.059	4.77	0.79	7.38	3.47	-0.7	2.39
16	0.2	0.047	4.76	0.77	7.68	3.44	-0.73	2.27
17	0.14	0.036	4.76	0.76	7.95	3.42	-0.76	2.14
18	0.1	0.028	4.78	0.78	8.25	3.4	-0.8	2.01
19	0.07	0.021	4.77	0.76	8.51	3.37	-0.85	1.84
20	0.06	0.016	4.75	0.74	8.73	3.33	-0.89	1.68
21	0.04	0.013	4.74	0.73	8.85	3.29	-0.93	1.53
22	0.03	0.01	4.69	0.67	8.87	3.26	-0.97	1.43
23	0.02	0.008	4.69	0.67	8.77	3.23	-0.99	1.38
24	0.01	0.007	4.63	0.59	8.69	3.21	-1.02	1.36
25	0.01	0.006	4.54	0.49	8.54	3.19	-1.04	1.32
26	0.01	0.005	4.46	0.41	8.39	3.17	-1.06	1.33
27	0.01	0.005	4.36	0.31	8.27	3.16	-1.07	1.29
28	0.01	0.005	4.28	0.21	8.19	3.14	-1.1	1.27
29	0.01	0.005	4.17	0.1	8.05	3.11	-1.13	1.24
30	0.01	0.005	4.08	0	7.92	3.08	-1.16	1.21
31	0.01	0.005	3.97	-0.12	7.74	3.05	-1.19	1.16
32	0.01	0.005	3.89	-0.21	7.57	3.02	-1.23	1.12
33	0.01	0.005	3.78	-0.33	7.35	2.99	-1.27	1.09
34	0.01	0.005	3.68	-0.44	7.21	2.95	-1.31	1.06
35	0.01	0.005	3.6	-0.53	6.99	2.93	-1.35	1.04
36	0.01	0.005	3.48	-0.65	6.79	2.89	-1.39	1.01
37	0.01	0.005	3.39	-0.75	6.6	2.86	-1.43	0.98
38	0.01	0.005	3.27	-0.89	6.4	2.82	-1.47	0.9
39	0.01	0.005	3.19	-0.98	6.24	2.8	-1.5	0.88
