conception_risk_lh	lh_day	fertile_lh	est_estradiol_lh	est_estradiol_lh_se	est_estradiol_lh_low	est_estradiol_lh_high	est_free_estradiol_lh	est_free_estradiol_lh_se	est_free_estradiol_lh_low	est_free_estradiol_lh_high	est_progesterone_lh	est_progesterone_lh_se	est_progesterone_lh_low	est_progesterone_lh_high	est_testosterone_lh	est_testosterone_lh_se	est_testosterone_lh_low	est_testosterone_lh_high	est_free_testosterone_lh	est_free_testosterone_lh_se	est_free_testosterone_lh_low	est_free_testosterone_lh_high
0	-15	0	3.41	0.47	2.48	4.32	-0.74	0.51	-1.73	0.24	6.41	0.58	5.26	7.52	3.05	0.17	2.71	3.4	-1.19	0.19	-1.58	-0.81
0	-14	0	3.41	0.46	2.55	4.32	-0.73	0.52	-1.74	0.27	6.34	0.59	5.17	7.49	3.04	0.17	2.71	3.37	-1.18	0.19	-1.55	-0.8
0	-13	0	3.45	0.46	2.54	4.36	-0.69	0.52	-1.71	0.34	6.26	0.59	5.1	7.38	3.06	0.17	2.71	3.39	-1.16	0.19	-1.55	-0.79
0	-12	0	3.52	0.46	2.62	4.43	-0.6	0.52	-1.61	0.43	6.18	0.6	5.01	7.36	3.09	0.17	2.76	3.43	-1.12	0.19	-1.51	-0.74
0	-11	0	3.6	0.47	2.67	4.5	-0.5	0.52	-1.51	0.51	6.1	0.59	4.97	7.29	3.13	0.17	2.79	3.47	-1.08	0.19	-1.45	-0.7
0	-10	0	3.65	0.47	2.72	4.57	-0.44	0.52	-1.45	0.57	6.03	0.59	4.92	7.21	3.17	0.17	2.84	3.53	-1.03	0.19	-1.39	-0.66
0	-9	0	3.69	0.46	2.78	4.59	-0.41	0.52	-1.43	0.61	5.98	0.59	4.8	7.14	3.2	0.17	2.86	3.54	-0.99	0.19	-1.36	-0.62
0	-8	0	3.72	0.46	2.86	4.65	-0.37	0.53	-1.41	0.64	5.95	0.58	4.84	7.08	3.22	0.17	2.89	3.54	-0.95	0.19	-1.32	-0.57
0	-7	0	3.8	0.47	2.86	4.71	-0.28	0.52	-1.25	0.72	5.91	0.59	4.79	7.03	3.22	0.17	2.88	3.56	-0.95	0.2	-1.33	-0.57
0.01	-6	0.032258064516129	4.01	0.47	3.11	4.9	-0.06	0.51	-1.07	0.91	5.86	0.6	4.7	7.01	3.23	0.17	2.88	3.56	-0.93	0.2	-1.31	-0.54
0.02	-5	0.0645161290322581	4.3	0.46	3.37	5.18	0.28	0.51	-0.72	1.27	5.81	0.59	4.66	6.96	3.25	0.17	2.91	3.58	-0.91	0.19	-1.29	-0.53
0.06	-4	0.193548387096774	4.69	0.46	3.8	5.61	0.71	0.51	-0.29	1.73	5.83	0.6	4.64	7.01	3.29	0.17	2.95	3.63	-0.86	0.19	-1.22	-0.48
0.16	-3	0.516129032258065	5.03	0.45	4.14	5.93	1.09	0.52	0.09	2.09	5.9	0.6	4.71	7.08	3.36	0.17	3.01	3.7	-0.8	0.19	-1.17	-0.43
0.2	-2	0.645161290322581	5.21	0.46	4.33	6.13	1.3	0.51	0.3	2.31	6.09	0.58	4.98	7.26	3.43	0.17	3.08	3.78	-0.74	0.19	-1.11	-0.38
0.25	-1	0.806451612903226	5.22	0.46	4.33	6.12	1.3	0.51	0.31	2.32	6.44	0.59	5.29	7.58	3.49	0.18	3.15	3.83	-0.69	0.19	-1.06	-0.33
0.24	0	0.774193548387097	5	0.46	4.11	5.9	1.07	0.51	0.07	2.09	6.91	0.59	5.76	8.08	3.51	0.17	3.19	3.85	-0.67	0.2	-1.06	-0.3
0.1	1	0.32258064516129	4.7	0.47	3.78	5.63	0.68	0.52	-0.34	1.71	7.46	0.58	6.34	8.59	3.5	0.17	3.16	3.84	-0.7	0.19	-1.06	-0.32
0.02	2	0.0645161290322581	4.42	0.46	3.53	5.32	0.36	0.51	-0.67	1.38	7.98	0.6	6.84	9.14	3.46	0.17	3.12	3.79	-0.76	0.19	-1.14	-0.37
0.02	3	0.0645161290322581	4.27	0.46	3.38	5.15	0.2	0.53	-0.87	1.23	8.46	0.58	7.34	9.58	3.39	0.17	3.06	3.73	-0.84	0.19	-1.22	-0.46
0	4	0	4.31	0.46	3.4	5.23	0.23	0.52	-0.79	1.23	8.78	0.59	7.59	9.95	3.33	0.17	3	3.66	-0.91	0.19	-1.29	-0.54
